"NEURON","NEUROENDOCRINE CELL"
"NEURON","LNCAP CELL"
"NEURON","DENTATE GRANULE CELL"
"NEURON","SMOOTH MUSCLE CELL"
"NEURON","MESENCHYMAL CELL"
"NEURON","NATURAL KILLER CELL"
"NEURON","EARLY TRANSIT-AMPLIFYING PROSTATE EPITHELIAL CELL"
"NEURON","LATE TRANSIT-AMPLIFYING PROSTATE EPITHELIAL CELL"
"NEURON","CANCER-ASSOCIATED FIBROBLAST"
"BASAL CELL","CANCER STEM CELL"
"BASAL CELL","PROGENITOR CELL"
"BASAL CELL","LUMINAL EPITHELIAL CELL"
"BASAL CELL","PLASMA CELL"
"BASAL CELL","CANCER CELL"
"BASAL CELL","EPITHELIAL CELL"
"BASAL CELL","LUMINAL CELL"
"BASAL CELL","FIBROBLAST"
"BASAL CELL","MACROPHAGE"
"BASAL CELL","MYELOID CELL"
"BASAL CELL","B CELL"
"BASAL CELL","NEURON"
"BASAL CELL","STEM CELL"
"BASAL CELL","T CELL"
"BASAL CELL","PROSTATE STEM CELL"
"BASAL CELL","COLONY-FORMING CELL"
"BASAL CELL","NEUTROPHIL"
"BASAL CELL","ENDOTHELIAL CELL"
"BASAL CELL","NEUROENDOCRINE CELL"
"BASAL CELL","LNCAP CELL"
"BASAL CELL","DENTATE GRANULE CELL"
"BASAL CELL","SMOOTH MUSCLE CELL"
"BASAL CELL","MESENCHYMAL CELL"
"BASAL CELL","NATURAL KILLER CELL"
"BASAL CELL","EARLY TRANSIT-AMPLIFYING PROSTATE EPITHELIAL CELL"
"BASAL CELL","LATE TRANSIT-AMPLIFYING PROSTATE EPITHELIAL CELL"
"BASAL CELL","CANCER-ASSOCIATED FIBROBLAST"
"STEM CELL","CANCER STEM CELL"
"STEM CELL","PROGENITOR CELL"
"STEM CELL","LUMINAL EPITHELIAL CELL"
"STEM CELL","PLASMA CELL"
"STEM CELL","CANCER CELL"
"STEM CELL","EPITHELIAL CELL"
"STEM CELL","LUMINAL CELL"
"STEM CELL","FIBROBLAST"
"STEM CELL","MACROPHAGE"
"STEM CELL","MYELOID CELL"
"STEM CELL","B CELL"
"STEM CELL","NEURON"
"STEM CELL","BASAL CELL"
"STEM CELL","T CELL"
"STEM CELL","PROSTATE STEM CELL"
"STEM CELL","COLONY-FORMING CELL"
"STEM CELL","NEUTROPHIL"
"STEM CELL","ENDOTHELIAL CELL"
"STEM CELL","NEUROENDOCRINE CELL"
"STEM CELL","LNCAP CELL"
"STEM CELL","DENTATE GRANULE CELL"
"STEM CELL","SMOOTH MUSCLE CELL"
"STEM CELL","MESENCHYMAL CELL"
"STEM CELL","NATURAL KILLER CELL"
"STEM CELL","EARLY TRANSIT-AMPLIFYING PROSTATE EPITHELIAL CELL"
"STEM CELL","LATE TRANSIT-AMPLIFYING PROSTATE EPITHELIAL CELL"
"STEM CELL","CANCER-ASSOCIATED FIBROBLAST"
"T CELL","CANCER STEM CELL"
"T CELL","PROGENITOR CELL"
"T CELL","LUMINAL EPITHELIAL CELL"
"T CELL","PLASMA CELL"
"T CELL","CANCER CELL"
"T CELL","EPITHELIAL CELL"
"T CELL","LUMINAL CELL"
"T CELL","FIBROBLAST"
"T CELL","MACROPHAGE"
"T CELL","MYELOID CELL"
"T CELL","B CELL"
"T CELL","NEURON"
"T CELL","BASAL CELL"
"T CELL","STEM CELL"
"T CELL","PROSTATE STEM CELL"
"T CELL","COLONY-FORMING CELL"
"T CELL","NEUTROPHIL"
"T CELL","ENDOTHELIAL CELL"
"T CELL","NEUROENDOCRINE CELL"
"T CELL","LNCAP CELL"
"T CELL","DENTATE GRANULE CELL"
"T CELL","SMOOTH MUSCLE CELL"
"T CELL","MESENCHYMAL CELL"
"T CELL","NATURAL KILLER CELL"
"T CELL","EARLY TRANSIT-AMPLIFYING PROSTATE EPITHELIAL CELL"
"T CELL","LATE TRANSIT-AMPLIFYING PROSTATE EPITHELIAL CELL"
"T CELL","CANCER-ASSOCIATED FIBROBLAST"
"PROSTATE STEM CELL","CANCER STEM CELL"
"PROSTATE STEM CELL","PROGENITOR CELL"
"PROSTATE STEM CELL","LUMINAL EPITHELIAL CELL"
"PROSTATE STEM CELL","PLASMA CELL"
"PROSTATE STEM CELL","CANCER CELL"
"PROSTATE STEM CELL","EPITHELIAL CELL"
"PROSTATE STEM CELL","LUMINAL CELL"
"PROSTATE STEM CELL","FIBROBLAST"
"PROSTATE STEM CELL","MACROPHAGE"
"PROSTATE STEM CELL","MYELOID CELL"
"PROSTATE STEM CELL","B CELL"
"PROSTATE STEM CELL","NEURON"
"PROSTATE STEM CELL","BASAL CELL"
"PROSTATE STEM CELL","STEM CELL"
"PROSTATE STEM CELL","T CELL"
"PROSTATE STEM CELL","COLONY-FORMING CELL"
"PROSTATE STEM CELL","NEUTROPHIL"
"PROSTATE STEM CELL","ENDOTHELIAL CELL"
"PROSTATE STEM CELL","NEUROENDOCRINE CELL"
"PROSTATE STEM CELL","LNCAP CELL"
"PROSTATE STEM CELL","DENTATE GRANULE CELL"
"PROSTATE STEM CELL","SMOOTH MUSCLE CELL"
"PROSTATE STEM CELL","MESENCHYMAL CELL"
"PROSTATE STEM CELL","NATURAL KILLER CELL"
"PROSTATE STEM CELL","EARLY TRANSIT-AMPLIFYING PROSTATE EPITHELIAL CELL"
"PROSTATE STEM CELL","LATE TRANSIT-AMPLIFYING PROSTATE EPITHELIAL CELL"
"PROSTATE STEM CELL","CANCER-ASSOCIATED FIBROBLAST"
"COLONY-FORMING CELL","CANCER STEM CELL"
"COLONY-FORMING CELL","PROGENITOR CELL"
"COLONY-FORMING CELL","LUMINAL EPITHELIAL CELL"
